YEAR,MONTH,PRODUCT,VALUE
2014,1,Hydro,3903.977
2014,1,Wind,5.648
2014,1,Solar,1.065
2014,1,Total combustible fuels,1792.024
2014,1,Coal,521.938
2014,1,Oil,139.219
2014,1,Natural gas,1031.146
2014,1,Combustible renewables,99.721
2014,1,Net electricity production,5702.714
2014,1,Total imports,0.021
2014,1,Total exports,146.888
2014,1,Electricity supplied,5555.847
2014,1,Distribution losses,536.164
2014,1,Final consumption,5019.684
2014,1,Electricity trade,146.867
2014,1,Renewables,4010.411
2014,1,Non-renewables,1692.303
2014,1,Others,139.219
2014,1,Other renewables aggregated,99.721
2014,1,Low carbon,4010.411
2014,1,Fossil fuels,1692.303
2014,2,Hydro,3598.26
2014,2,Wind,5.415
2014,2,Solar,0.831
2014,2,Total combustible fuels,1760.355
2014,2,Coal,413.943
2014,2,Oil,152.263
2014,2,Natural gas,1095.052
2014,2,Combustible renewables,99.097
2014,2,Net electricity production,5364.86
2014,2,Total imports,0.029
2014,2,Total exports,81.619
2014,2,Electricity supplied,5283.27
2014,2,Distribution losses,398.35
2014,2,Final consumption,4884.92
2014,2,Electricity trade,81.59
2014,2,Renewables,3703.603
2014,2,Non-renewables,1661.258
2014,2,Others,152.263
2014,2,Other renewables aggregated,99.097
2014,2,Low carbon,3703.603
2014,2,Fossil fuels,1661.258
2014,3,Hydro,4205.913
2014,3,Wind,6.189
2014,3,Solar,0.665
2014,3,Total combustible fuels,1619.748
2014,3,Coal,402.284
2014,3,Oil,141.402
2014,3,Natural gas,975.374
2014,3,Combustible renewables,100.687
2014,3,Net electricity production,5832.515
2014,3,Total imports,0.12
2014,3,Total exports,69.174
2014,3,Electricity supplied,5763.461
2014,3,Distribution losses,620.585
2014,3,Final consumption,5142.876
2014,3,Electricity trade,69.054
2014,3,Renewables,4313.454
2014,3,Non-renewables,1519.06
2014,3,Others,141.402
2014,3,Other renewables aggregated,100.687
2014,3,Low carbon,4313.454
2014,3,Fossil fuels,1519.06
2014,4,Hydro,3615.005
2014,4,Wind,6.694
2014,4,Solar,0.56
2014,4,Total combustible fuels,1930.638
2014,4,Coal,515.133
2014,4,Oil,158.736
2014,4,Natural gas,1157.945
2014,4,Combustible renewables,98.824
2014,4,Net electricity production,5552.898
2014,4,Total imports,0.187
2014,4,Total exports,43.774
2014,4,Electricity supplied,5509.311
2014,4,Distribution losses,470.892
2014,4,Final consumption,5038.419
2014,4,Electricity trade,43.587
2014,4,Renewables,3721.083
2014,4,Non-renewables,1831.814
2014,4,Others,158.736
2014,4,Other renewables aggregated,98.824
2014,4,Low carbon,3721.083
2014,4,Fossil fuels,1831.814
2014,5,Hydro,3632.958
2014,5,Wind,6.211
2014,5,Solar,0.67
2014,5,Total combustible fuels,2092.576
2014,5,Coal,547.723
2014,5,Oil,172.284
2014,5,Natural gas,1274.632
2014,5,Combustible renewables,97.937
2014,5,Net electricity production,5732.416
2014,5,Total imports,0.052
2014,5,Total exports,21.886
2014,5,Electricity supplied,5710.582
2014,5,Distribution losses,600.044
2014,5,Final consumption,5110.537
2014,5,Electricity trade,21.834
2014,5,Renewables,3737.776
2014,5,Non-renewables,1994.639
2014,5,Others,172.284
2014,5,Other renewables aggregated,97.937
2014,5,Low carbon,3737.776
2014,5,Fossil fuels,1994.639
2014,6,Hydro,3513.389
2014,6,Wind,8.085
2014,6,Solar,0.697
2014,6,Total combustible fuels,2021.928
2014,6,Coal,448.719
2014,6,Oil,152.801
2014,6,Natural gas,1309.421
2014,6,Combustible renewables,110.987
2014,6,Net electricity production,5544.099
2014,6,Total imports,8.175
2014,6,Total exports,22.132
2014,6,Electricity supplied,5530.142
2014,6,Distribution losses,419.762
2014,6,Final consumption,5110.381
2014,6,Electricity trade,13.957
2014,6,Renewables,3633.158
2014,6,Non-renewables,1910.941
2014,6,Others,152.801
2014,6,Other renewables aggregated,110.987
2014,6,Low carbon,3633.158
2014,6,Fossil fuels,1910.941
2014,7,Hydro,4105.318
2014,7,Wind,8.713
2014,7,Solar,0.75
2014,7,Total combustible fuels,1802.136
2014,7,Coal,393.836
2014,7,Oil,151.163
2014,7,Natural gas,1146.857
2014,7,Combustible renewables,110.281
2014,7,Net electricity production,5916.918
2014,7,Total imports,13.911
2014,7,Total exports,23.181
2014,7,Electricity supplied,5907.648
2014,7,Distribution losses,615.733
2014,7,Final consumption,5291.915
2014,7,Electricity trade,9.27
2014,7,Renewables,4225.062
2014,7,Non-renewables,1691.856
2014,7,Others,151.163
2014,7,Other renewables aggregated,110.281
2014,7,Low carbon,4225.062
2014,7,Fossil fuels,1691.856
2014,8,Hydro,4058.878
2014,8,Wind,5.438
2014,8,Solar,0.75
2014,8,Total combustible fuels,1755.579
2014,8,Coal,368.25
2014,8,Oil,146.552
2014,8,Natural gas,1130.38
2014,8,Combustible renewables,110.397
2014,8,Net electricity production,5820.646
2014,8,Total imports,20.77
2014,8,Total exports,16.482
2014,8,Electricity supplied,5824.934
2014,8,Distribution losses,428.081
2014,8,Final consumption,5396.853
2014,8,Electricity trade,-4.288
2014,8,Renewables,4175.463
2014,8,Non-renewables,1645.182
2014,8,Others,146.552
2014,8,Other renewables aggregated,110.397
2014,8,Low carbon,4175.463
2014,8,Fossil fuels,1645.182
2014,9,Hydro,4165.149
2014,9,Wind,4.5
2014,9,Solar,0.745
2014,9,Total combustible fuels,1690.116
2014,9,Coal,372.765
2014,9,Oil,166.453
2014,9,Natural gas,1043.316
2014,9,Combustible renewables,107.583
2014,9,Net electricity production,5860.51
2014,9,Total imports,0.053
2014,9,Total exports,84.675
2014,9,Electricity supplied,5775.888
2014,9,Distribution losses,431.423
2014,9,Final consumption,5344.465
2014,9,Electricity trade,84.622
2014,9,Renewables,4277.977
2014,9,Non-renewables,1582.534
2014,9,Others,166.453
2014,9,Other renewables aggregated,107.583
2014,9,Low carbon,4277.977
2014,9,Fossil fuels,1582.534
2014,10,Hydro,4072.668
2014,10,Wind,3.704
2014,10,Solar,0.688
2014,10,Total combustible fuels,1839.451
2014,10,Coal,405.291
2014,10,Oil,206.83
2014,10,Natural gas,1116.552
2014,10,Combustible renewables,110.778
2014,10,Net electricity production,5916.51
2014,10,Total imports,3.642
2014,10,Total exports,64.034
2014,10,Electricity supplied,5856.118
2014,10,Distribution losses,509.17
2014,10,Final consumption,5346.948
2014,10,Electricity trade,60.392
2014,10,Renewables,4187.838
2014,10,Non-renewables,1728.673
2014,10,Others,206.83
2014,10,Other renewables aggregated,110.778
2014,10,Low carbon,4187.838
2014,10,Fossil fuels,1728.673
2014,11,Hydro,4197.121
2014,11,Wind,3.711
2014,11,Solar,0.648
2014,11,Total combustible fuels,1633.897
2014,11,Coal,362.355
2014,11,Oil,169.834
2014,11,Natural gas,996.312
2014,11,Combustible renewables,105.396
2014,11,Net electricity production,5835.377
2014,11,Total imports,0.001
2014,11,Total exports,138.414
2014,11,Electricity supplied,5696.964
2014,11,Distribution losses,315.601
2014,11,Final consumption,5381.362
2014,11,Electricity trade,138.413
2014,11,Renewables,4306.876
2014,11,Non-renewables,1528.501
2014,11,Others,169.834
2014,11,Other renewables aggregated,105.396
2014,11,Low carbon,4306.876
2014,11,Fossil fuels,1528.501
2014,12,Hydro,4180.456
2014,12,Wind,5.174
2014,12,Solar,0.878
2014,12,Total combustible fuels,1761.327
2014,12,Coal,399.853
2014,12,Oil,160.654
2014,12,Natural gas,1088.414
2014,12,Combustible renewables,112.405
2014,12,Net electricity production,5947.836
2014,12,Total imports,0.039
2014,12,Total exports,136.741
2014,12,Electricity supplied,5811.134
2014,12,Distribution losses,504.195
2014,12,Final consumption,5306.939
2014,12,Electricity trade,136.702
2014,12,Renewables,4298.913
2014,12,Non-renewables,1648.921
2014,12,Others,160.654
2014,12,Other renewables aggregated,112.405
2014,12,Low carbon,4298.913
2014,12,Fossil fuels,1648.921
2015,1,Hydro,3931.459
2015,1,Wind,5.562
2015,1,Solar,1.065
2015,1,Total combustible fuels,2250.005
2015,1,Coal,554.069
2015,1,Oil,151.043
2015,1,Natural gas,1442.368
2015,1,Combustible renewables,102.525
2015,1,Net electricity production,6188.091
2015,1,Total imports,0.087
2015,1,Total exports,84.394
2015,1,Electricity supplied,6103.784
2015,1,Distribution losses,544.296
2015,1,Final consumption,5559.489
2015,1,Electricity trade,84.307
2015,1,Renewables,4040.611
2015,1,Non-renewables,2147.48
2015,1,Others,151.043
2015,1,Other renewables aggregated,102.525
2015,1,Low carbon,4040.611
2015,1,Fossil fuels,2147.48
2015,2,Hydro,4082.267
2015,2,Wind,4.848
2015,2,Solar,0.831
2015,2,Total combustible fuels,1848.152
2015,2,Coal,382.665
2015,2,Oil,152.007
2015,2,Natural gas,1210.677
2015,2,Combustible renewables,102.804
2015,2,Net electricity production,5936.098
2015,2,Total imports,0.032
2015,2,Total exports,54.484
2015,2,Electricity supplied,5881.646
2015,2,Distribution losses,461.107
2015,2,Final consumption,5420.538
2015,2,Electricity trade,54.452
2015,2,Renewables,4190.75
2015,2,Non-renewables,1745.349
2015,2,Others,152.007
2015,2,Other renewables aggregated,102.804
2015,2,Low carbon,4190.75
2015,2,Fossil fuels,1745.349
2015,3,Hydro,4317.805
2015,3,Wind,6.381
2015,3,Solar,0.665
2015,3,Total combustible fuels,2162.577
2015,3,Coal,577.082
2015,3,Oil,154.803
2015,3,Natural gas,1324.754
2015,3,Combustible renewables,105.937
2015,3,Net electricity production,6487.427
2015,3,Total imports,0.021
2015,3,Total exports,127.891
2015,3,Electricity supplied,6359.557
2015,3,Distribution losses,680.886
2015,3,Final consumption,5678.672
2015,3,Electricity trade,127.87
2015,3,Renewables,4430.788
2015,3,Non-renewables,2056.639
2015,3,Others,154.803
2015,3,Other renewables aggregated,105.937
2015,3,Low carbon,4430.788
2015,3,Fossil fuels,2056.639
2015,4,Hydro,4352.938
2015,4,Wind,6.174
2015,4,Solar,0.56
2015,4,Total combustible fuels,1819.111
2015,4,Coal,445.587
2015,4,Oil,149.943
2015,4,Natural gas,1116.761
2015,4,Combustible renewables,106.82
2015,4,Net electricity production,6178.783
2015,4,Total imports,0.038
2015,4,Total exports,46.71
2015,4,Electricity supplied,6132.111
2015,4,Distribution losses,570.094
2015,4,Final consumption,5562.018
2015,4,Electricity trade,46.672
2015,4,Renewables,4466.492
2015,4,Non-renewables,1712.291
2015,4,Others,149.943
2015,4,Other renewables aggregated,106.82
2015,4,Low carbon,4466.492
2015,4,Fossil fuels,1712.291
2015,5,Hydro,4206.67
2015,5,Wind,6.296
2015,5,Solar,0.67
2015,5,Total combustible fuels,2240.495
2015,5,Coal,536.501
2015,5,Oil,165.397
2015,5,Natural gas,1437.843
2015,5,Combustible renewables,100.754
2015,5,Net electricity production,6454.132
2015,5,Total imports,8.956
2015,5,Total exports,27.299
2015,5,Electricity supplied,6435.789
2015,5,Distribution losses,714.001
2015,5,Final consumption,5721.787
2015,5,Electricity trade,18.343
2015,5,Renewables,4314.39
2015,5,Non-renewables,2139.741
2015,5,Others,165.397
2015,5,Other renewables aggregated,100.754
2015,5,Low carbon,4314.39
2015,5,Fossil fuels,2139.741
2015,6,Hydro,4136.213
2015,6,Wind,7.014
2015,6,Solar,0.697
2015,6,Total combustible fuels,2091.438
2015,6,Coal,493.966
2015,6,Oil,206.062
2015,6,Natural gas,1283.199
2015,6,Combustible renewables,108.211
2015,6,Net electricity production,6235.363
2015,6,Total imports,6.461
2015,6,Total exports,12.399
2015,6,Electricity supplied,6229.425
2015,6,Distribution losses,442.943
2015,6,Final consumption,5786.481
2015,6,Electricity trade,5.938
2015,6,Renewables,4252.135
2015,6,Non-renewables,1983.227
2015,6,Others,206.062
2015,6,Other renewables aggregated,108.211
2015,6,Low carbon,4252.135
2015,6,Fossil fuels,1983.227
2015,7,Hydro,4401.239
2015,7,Wind,7.075
2015,7,Solar,0.75
2015,7,Total combustible fuels,2103.065
2015,7,Coal,493.686
2015,7,Oil,171.671
2015,7,Natural gas,1327.603
2015,7,Combustible renewables,110.106
2015,7,Net electricity production,6512.13
2015,7,Total imports,13.377
2015,7,Total exports,22.856
2015,7,Electricity supplied,6502.651
2015,7,Distribution losses,666.419
2015,7,Final consumption,5836.232
2015,7,Electricity trade,9.479
2015,7,Renewables,4519.17
2015,7,Non-renewables,1992.96
2015,7,Others,171.671
2015,7,Other renewables aggregated,110.106
2015,7,Low carbon,4519.17
2015,7,Fossil fuels,1992.96
2015,8,Hydro,4572.769
2015,8,Wind,5.856
2015,8,Solar,0.75
2015,8,Total combustible fuels,1999.905
2015,8,Coal,536.274
2015,8,Oil,155.678
2015,8,Natural gas,1200.526
2015,8,Combustible renewables,107.426
2015,8,Net electricity production,6579.28
2015,8,Total imports,4.949
2015,8,Total exports,38.855
2015,8,Electricity supplied,6545.374
2015,8,Distribution losses,650.255
2015,8,Final consumption,5895.12
2015,8,Electricity trade,33.906
2015,8,Renewables,4686.801
2015,8,Non-renewables,1892.478
2015,8,Others,155.678
2015,8,Other renewables aggregated,107.426
2015,8,Low carbon,4686.801
2015,8,Fossil fuels,1892.478
2015,9,Hydro,4027.145
2015,9,Wind,3.889
2015,9,Solar,0.745
2015,9,Total combustible fuels,2483.897
2015,9,Coal,566.541
2015,9,Oil,273.822
2015,9,Natural gas,1536.959
2015,9,Combustible renewables,106.575
2015,9,Net electricity production,6515.676
2015,9,Total imports,3.547
2015,9,Total exports,32.86
2015,9,Electricity supplied,6486.363
2015,9,Distribution losses,647.41
2015,9,Final consumption,5838.953
2015,9,Electricity trade,29.313
2015,9,Renewables,4138.354
2015,9,Non-renewables,2377.322
2015,9,Others,273.822
2015,9,Other renewables aggregated,106.575
2015,9,Low carbon,4138.354
2015,9,Fossil fuels,2377.322
2015,10,Hydro,3383.799
2015,10,Wind,3.605
2015,10,Solar,0.688
2015,10,Total combustible fuels,3083.931
2015,10,Coal,696.799
2015,10,Oil,591.24
2015,10,Natural gas,1680.035
2015,10,Combustible renewables,115.856
2015,10,Net electricity production,6472.023
2015,10,Total imports,2.625
2015,10,Total exports,1.699
2015,10,Electricity supplied,6472.949
2015,10,Distribution losses,610.549
2015,10,Final consumption,5862.4
2015,10,Electricity trade,-0.926
2015,10,Renewables,3503.948
2015,10,Non-renewables,2968.074
2015,10,Others,591.24
2015,10,Other renewables aggregated,115.856
2015,10,Low carbon,3503.948
2015,10,Fossil fuels,2968.074
2015,11,Hydro,3246.676
2015,11,Wind,4.217
2015,11,Solar,0.648
2015,11,Total combustible fuels,2905.642
2015,11,Coal,613.187
2015,11,Oil,621.377
2015,11,Natural gas,1565.547
2015,11,Combustible renewables,105.531
2015,11,Net electricity production,6157.182
2015,11,Total imports,0.838
2015,11,Total exports,3.933
2015,11,Electricity supplied,6154.087
2015,11,Distribution losses,475.949
2015,11,Final consumption,5678.138
2015,11,Electricity trade,3.095
2015,11,Renewables,3357.072
2015,11,Non-renewables,2800.111
2015,11,Others,621.377
2015,11,Other renewables aggregated,105.531
2015,11,Low carbon,3357.072
2015,11,Fossil fuels,2800.111
2015,12,Hydro,3279.061
2015,12,Wind,6.58
2015,12,Solar,0.878
2015,12,Total combustible fuels,3119.292
2015,12,Coal,757.253
2015,12,Oil,524.377
2015,12,Natural gas,1723.593
2015,12,Combustible renewables,114.069
2015,12,Net electricity production,6405.811
2015,12,Total imports,4.069
2015,12,Total exports,6.62
2015,12,Electricity supplied,6403.26
2015,12,Distribution losses,654.092
2015,12,Final consumption,5749.167
2015,12,Electricity trade,2.551
2015,12,Renewables,3400.588
2015,12,Non-renewables,3005.223
2015,12,Others,524.377
2015,12,Other renewables aggregated,114.069
2015,12,Low carbon,3400.588
2015,12,Fossil fuels,3005.223
2016,1,Hydro,2913.965
2016,1,Wind,4.899
2016,1,Solar,1.065
2016,1,Total combustible fuels,3272.373
2016,1,Coal,732.186
2016,1,Oil,520.481
2016,1,Natural gas,1903.902
2016,1,Combustible renewables,115.804
2016,1,Net electricity production,6192.302
2016,1,Total imports,0.072
2016,1,Total exports,11.043
2016,1,Electricity supplied,6181.331
2016,1,Distribution losses,586.074
2016,1,Final consumption,5595.257
2016,1,Electricity trade,10.971
2016,1,Renewables,3035.733
2016,1,Non-renewables,3156.569
2016,1,Others,520.481
2016,1,Other renewables aggregated,115.804
2016,1,Low carbon,3035.733
2016,1,Fossil fuels,3156.569
2016,2,Hydro,2937.529
2016,2,Wind,5.978
2016,2,Solar,0.831
2016,2,Total combustible fuels,3131.077
2016,2,Coal,660.377
2016,2,Oil,709.804
2016,2,Natural gas,1640.094
2016,2,Combustible renewables,120.802
2016,2,Net electricity production,6075.415
2016,2,Total imports,13.429
2016,2,Total exports,18.981
2016,2,Electricity supplied,6069.863
2016,2,Distribution losses,590.857
2016,2,Final consumption,5479.006
2016,2,Electricity trade,5.552
2016,2,Renewables,3065.14
2016,2,Non-renewables,3010.275
2016,2,Others,709.804
2016,2,Other renewables aggregated,120.802
2016,2,Low carbon,3065.14
2016,2,Fossil fuels,3010.275
2016,3,Hydro,2592.859
2016,3,Wind,5.579
2016,3,Solar,0.665
2016,3,Total combustible fuels,3400.743
2016,3,Coal,755.762
2016,3,Oil,801.001
2016,3,Natural gas,1717.924
2016,3,Combustible renewables,126.056
2016,3,Net electricity production,5999.846
2016,3,Total imports,142.212
2016,3,Total exports,0.161
2016,3,Electricity supplied,6141.897
2016,3,Distribution losses,597.568
2016,3,Final consumption,5544.329
2016,3,Electricity trade,-142.051
2016,3,Renewables,2725.159
2016,3,Non-renewables,3274.687
2016,3,Others,801.001
2016,3,Other renewables aggregated,126.056
2016,3,Low carbon,2725.159
2016,3,Fossil fuels,3274.687
2016,4,Hydro,3430.949
2016,4,Wind,4.103
2016,4,Solar,0.56
2016,4,Total combustible fuels,2552.592
2016,4,Coal,606.024
2016,4,Oil,431.193
2016,4,Natural gas,1390.962
2016,4,Combustible renewables,124.413
2016,4,Net electricity production,5988.204
2016,4,Total imports,66.492
2016,4,Total exports,1.206
2016,4,Electricity supplied,6053.49
2016,4,Distribution losses,517.212
2016,4,Final consumption,5536.278
2016,4,Electricity trade,-65.286
2016,4,Renewables,3560.025
2016,4,Non-renewables,2428.179
2016,4,Others,431.193
2016,4,Other renewables aggregated,124.413
2016,4,Low carbon,3560.025
2016,4,Fossil fuels,2428.179
2016,5,Hydro,4456.328
2016,5,Wind,4.032
2016,5,Solar,0.67
2016,5,Total combustible fuels,1771.985
2016,5,Coal,370.827
2016,5,Oil,168.265
2016,5,Natural gas,1133.33
2016,5,Combustible renewables,99.563
2016,5,Net electricity production,6233.015
2016,5,Total imports,63.687
2016,5,Total exports,0.91
2016,5,Electricity supplied,6295.792
2016,5,Distribution losses,637.389
2016,5,Final consumption,5658.403
2016,5,Electricity trade,-62.777
2016,5,Renewables,4560.593
2016,5,Non-renewables,1672.422
2016,5,Others,168.265
2016,5,Other renewables aggregated,99.563
2016,5,Low carbon,4560.593
2016,5,Fossil fuels,1672.422
2016,6,Hydro,4255.49
2016,6,Wind,5.915
2016,6,Solar,0.697
2016,6,Total combustible fuels,1835.016
2016,6,Coal,413.337
2016,6,Oil,171.988
2016,6,Natural gas,1147.522
2016,6,Combustible renewables,102.169
2016,6,Net electricity production,6097.118
2016,6,Total imports,40.357
2016,6,Total exports,0.383
2016,6,Electricity supplied,6137.092
2016,6,Distribution losses,508.33
2016,6,Final consumption,5628.762
2016,6,Electricity trade,-39.974
2016,6,Renewables,4364.271
2016,6,Non-renewables,1732.847
2016,6,Others,171.988
2016,6,Other renewables aggregated,102.169
2016,6,Low carbon,4364.271
2016,6,Fossil fuels,1732.847
2016,7,Hydro,4579.753
2016,7,Wind,7.022
2016,7,Solar,0.75
2016,7,Total combustible fuels,1644.77
2016,7,Coal,419.365
2016,7,Oil,167.389
2016,7,Natural gas,949.527
2016,7,Combustible renewables,108.489
2016,7,Net electricity production,6232.295
2016,7,Total imports,15.983
2016,7,Total exports,0.186
2016,7,Electricity supplied,6248.092
2016,7,Distribution losses,598.261
2016,7,Final consumption,5649.831
2016,7,Electricity trade,-15.797
2016,7,Renewables,4696.014
2016,7,Non-renewables,1536.281
2016,7,Others,167.389
2016,7,Other renewables aggregated,108.489
2016,7,Low carbon,4696.014
2016,7,Fossil fuels,1536.281
2016,8,Hydro,4708.546
2016,8,Wind,5.683
2016,8,Solar,0.75
2016,8,Total combustible fuels,1778.515
2016,8,Coal,463.501
2016,8,Oil,168.976
2016,8,Natural gas,1025.366
2016,8,Combustible renewables,120.672
2016,8,Net electricity production,6493.494
2016,8,Total imports,23.645
2016,8,Total exports,3.303
2016,8,Electricity supplied,6513.836
2016,8,Distribution losses,749.289
2016,8,Final consumption,5764.547
2016,8,Electricity trade,-20.342
2016,8,Renewables,4835.651
2016,8,Non-renewables,1657.843
2016,8,Others,168.976
2016,8,Other renewables aggregated,120.672
2016,8,Low carbon,4835.651
2016,8,Fossil fuels,1657.843
2016,9,Hydro,4654.819
2016,9,Wind,3.333
2016,9,Solar,0.745
2016,9,Total combustible fuels,1643.562
2016,9,Coal,287.448
2016,9,Oil,165.204
2016,9,Natural gas,1073.401
2016,9,Combustible renewables,117.509
2016,9,Net electricity production,6302.459
2016,9,Total imports,6.3
2016,9,Total exports,5.728
2016,9,Electricity supplied,6303.031
2016,9,Distribution losses,516.778
2016,9,Final consumption,5786.253
2016,9,Electricity trade,-0.572
2016,9,Renewables,4776.406
2016,9,Non-renewables,1526.053
2016,9,Others,165.204
2016,9,Other renewables aggregated,117.509
2016,9,Low carbon,4776.406
2016,9,Fossil fuels,1526.053
2016,10,Hydro,4458.058
2016,10,Wind,1.444
2016,10,Solar,0.688
2016,10,Total combustible fuels,1865.155
2016,10,Coal,508.56
2016,10,Oil,175.131
2016,10,Natural gas,1060.533
2016,10,Combustible renewables,120.931
2016,10,Net electricity production,6325.345
2016,10,Total imports,2.555
2016,10,Total exports,2.081
2016,10,Electricity supplied,6325.819
2016,10,Distribution losses,584.065
2016,10,Final consumption,5741.754
2016,10,Electricity trade,-0.474
2016,10,Renewables,4581.121
2016,10,Non-renewables,1744.224
2016,10,Others,175.131
2016,10,Other renewables aggregated,120.931
2016,10,Low carbon,4581.121
2016,10,Fossil fuels,1744.224
2016,11,Hydro,4593.596
2016,11,Wind,1.075
2016,11,Solar,0.648
2016,11,Total combustible fuels,1595.315
2016,11,Coal,343.193
2016,11,Oil,187.052
2016,11,Natural gas,957.416
2016,11,Combustible renewables,107.654
2016,11,Net electricity production,6190.634
2016,11,Total imports,2.337
2016,11,Total exports,0.864
2016,11,Electricity supplied,6192.107
2016,11,Distribution losses,540.528
2016,11,Final consumption,5651.579
2016,11,Electricity trade,-1.473
2016,11,Renewables,4702.973
2016,11,Non-renewables,1487.661
2016,11,Others,187.052
2016,11,Other renewables aggregated,107.654
2016,11,Low carbon,4702.973
2016,11,Fossil fuels,1487.661
2016,12,Hydro,4877.303
2016,12,Wind,1.559
2016,12,Solar,0.878
2016,12,Total combustible fuels,1451.403
2016,12,Coal,267.193
2016,12,Oil,158.637
2016,12,Natural gas,917.621
2016,12,Combustible renewables,107.952
2016,12,Net electricity production,6331.143
2016,12,Total imports,0.931
2016,12,Total exports,0.153
2016,12,Electricity supplied,6331.921
2016,12,Distribution losses,573.65
2016,12,Final consumption,5758.271
2016,12,Electricity trade,-0.778
2016,12,Renewables,4987.692
2016,12,Non-renewables,1343.451
2016,12,Others,158.637
2016,12,Other renewables aggregated,107.952
2016,12,Low carbon,4987.692
2016,12,Fossil fuels,1343.451
2017,1,Hydro,4968.19
2017,1,Solar,1.696
2017,1,Total combustible fuels,1347.828
2017,1,Coal,238.004
2017,1,Oil,170.582
2017,1,Natural gas,823.179
2017,1,Combustible renewables,116.063
2017,1,Net electricity production,6317.714
2017,1,Total imports,0.254
2017,1,Total exports,0.017
2017,1,Electricity supplied,6317.951
2017,1,Distribution losses,442.095
2017,1,Final consumption,5875.856
2017,1,Electricity trade,-0.237
2017,1,Renewables,5085.949
2017,1,Non-renewables,1231.765
2017,1,Others,170.582
2017,1,Other renewables aggregated,116.063
2017,1,Low carbon,5085.949
2017,1,Fossil fuels,1231.765
2017,2,Hydro,4443.333
2017,2,Solar,1.323
2017,2,Total combustible fuels,1583.919
2017,2,Coal,388.654
2017,2,Oil,174.644
2017,2,Natural gas,906.204
2017,2,Combustible renewables,114.417
2017,2,Net electricity production,6028.575
2017,2,Total imports,0.525
2017,2,Total exports,0.057
2017,2,Electricity supplied,6029.043
2017,2,Distribution losses,398.645
2017,2,Final consumption,5630.398
2017,2,Electricity trade,-0.468
2017,2,Renewables,4559.073
2017,2,Non-renewables,1469.502
2017,2,Others,174.644
2017,2,Other renewables aggregated,114.417
2017,2,Low carbon,4559.073
2017,2,Fossil fuels,1469.502
2017,3,Hydro,4844.229
2017,3,Solar,1.059
2017,3,Total combustible fuels,1538.982
2017,3,Coal,330.775
2017,3,Oil,179.389
2017,3,Natural gas,912.553
2017,3,Combustible renewables,116.265
2017,3,Net electricity production,6384.27
2017,3,Total imports,33.172
2017,3,Total exports,0.029
2017,3,Electricity supplied,6417.413
2017,3,Distribution losses,519.471
2017,3,Final consumption,5897.942
2017,3,Electricity trade,-33.143
2017,3,Renewables,4961.553
2017,3,Non-renewables,1422.717
2017,3,Others,179.389
2017,3,Other renewables aggregated,116.265
2017,3,Low carbon,4961.553
2017,3,Fossil fuels,1422.717
2017,4,Hydro,4962.182
2017,4,Wind,0.442
2017,4,Solar,0.892
2017,4,Total combustible fuels,1335.705
